Date,Open,High,Low,Close,Volume,Adjusted Close
2015-02-05,67.53,68.67,67.05,67.68,0.0,67.68
2015-02-04,67.53,68.67,67.05,67.68,0.0,67.68
2015-02-03,67.53,68.67,67.05,67.68,0.0,67.68
2015-02-02,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-30,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-29,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-28,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-27,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-26,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-23,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-22,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-21,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-20,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-16,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-15,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-14,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-13,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-12,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-09,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-08,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-07,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-06,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-05,67.53,68.67,67.05,67.68,0.0,67.68
2015-01-02,67.53,68.67,67.05,67.68,0.0,67.68
2014-12-31,67.53,68.67,67.05,67.68,0.0,67.68
2014-12-30,67.53,68.67,67.05,67.68,0.0,67.68
2014-12-29,67.53,68.67,67.05,67.68,0.0,67.68
2014-12-26,67.53,68.67,67.05,67.68,0.0,67.68
2014-12-19,67.53,68.67,67.05,67.68,0.0,67.68
2014-12-18,65.09,68.19,65.09,68.06,0.0,68.06
2014-12-17,61.43,65.1,61.43,64.67,0.0,64.67
2014-12-16,63.16,64.46,61.1,61.26,0.0,61.26
2014-12-15,66.6,67.87,62.47,62.48,0.0,62.48
2014-12-12,68.02,68.47,66.5,66.84,0.0,66.84
2014-12-11,68.5,70.51,67.67,68.4,0.0,68.4
2014-12-10,71.83,73.17,69.08,69.22,0.0,69.22
2014-12-09,68.89,73.02,68.89,71.93,0.0,71.93
2014-12-08,68.04,69.05,65.93,68.03,0.0,68.03
2014-12-05,68.81,69.06,67.16,67.87,0.0,67.87
2014-12-04,70.71,71.23,69.14,69.28,0.0,69.28
2014-12-03,68.99,71.69,68.99,70.82,0.0,70.82
2014-12-02,69.62,70.81,68.14,68.68,0.0,68.68
2014-12-01,66.49,70.92,66.49,70.85,0.0,70.85
2014-11-28,71.46,71.46,65.93,66.09,0.0,66.09
2014-11-26,72.85,72.87,71.95,72.06,0.0,72.06
2014-11-25,70.08,73.01,70.01,72.89,0.0,72.89
2014-11-24,70.93,71.47,69.66,70.06,0.0,70.06
2014-11-21,70.49,72.51,70.22,71.29,0.0,71.29
2014-11-20,68.9,70.53,68.9,69.82,0.0,69.82
2014-11-19,72.23,72.3,68.13,68.24,0.0,68.24
2014-11-18,69.41,72.74,69.41,72.56,0.0,72.56
2014-11-17,67.45,69.26,65.94,69.01,0.0,69.01
2014-11-14,62.94,67.99,61.82,67.72,0.0,67.72
2014-11-13,64.73,65.25,62.95,63.34,0.0,63.34
2014-11-12,64.92,66.38,63.23,64.63,0.0,64.63
2014-11-11,62.73,65.82,62.73,64.74,0.0,64.74
2014-11-10,65.96,65.96,62.22,62.55,0.0,62.55
2014-11-07,62.2,66.62,62.2,66.56,0.0,66.56
2014-11-06,59.71,63.1,59.71,61.66,0.0,61.66
2014-11-05,62.23,62.26,58.93,59.26,0.0,59.26
2014-11-04,64.62,64.75,62.09,62.37,0.0,62.37
2014-11-03,62.73,65.2,62.68,65.01,0.0,65.01
2014-10-31,66.18,66.18,61.63,62.59,0.0,62.59
2014-10-30,71.14,71.14,66.07,66.18,0.0,66.18
2014-10-29,73.75,74.31,71.29,71.55,0.0,71.55
2014-10-28,73.55,74.36,72.83,74.29,0.0,74.29
2014-10-27,74.12,74.13,73.41,73.41,0.0,73.41
2014-10-24,74.81,75.1,73.97,74.44,0.0,74.44
2014-10-23,74.64,75.39,73.2,74.81,0.0,74.81
2014-10-22,76.94,76.94,74.73,74.78,0.0,74.78
2014-10-21,77.73,78.84,77.05,77.34,0.0,77.34
2014-10-20,76.66,77.56,76.24,77.36,0.0,77.36
2014-10-17,78.4,78.46,75.87,75.93,0.0,75.93
2014-10-16,78.16,79.46,77.44,78.2,0.0,78.2
2014-10-15,79.4,80.81,77.65,78.37,0.0,78.37
2014-10-14,78.63,80.65,78.63,79.24,0.0,79.24
2014-10-13,78.03,80.91,77.92,78.49,0.0,78.49
2014-10-10,78.54,80.05,76.76,77.0,0.0,77.0
2014-10-09,81.74,81.83,76.99,78.71,0.0,78.71
2014-10-08,77.42,82.32,75.05,81.69,0.0,81.69
2014-10-07,80.09,80.49,76.8,76.91,0.0,76.91
2014-10-06,79.09,80.27,78.81,80.09,0.0,80.09
2014-10-03,81.74,81.9,78.58,78.64,0.0,78.64
2014-10-02,82.06,82.72,80.94,82.56,0.0,82.56
2014-10-01,82.05,83.42,81.67,81.76,0.0,81.76
2014-09-30,83.2,83.45,81.51,81.74,0.0,81.74
2014-09-29,84.95,85.13,83.42,83.47,0.0,83.47
2014-09-26,85.57,85.57,84.52,84.88,0.0,84.88
2014-09-25,85.77,86.3,84.39,85.93,0.0,85.93
2014-09-24,87.05,87.82,85.97,86.17,0.0,86.17
2014-09-23,86.41,87.84,86.41,87.35,0.0,87.35
2014-09-22,88.26,88.26,85.83,85.97,0.0,85.97
2014-09-19,89.74,89.74,87.8,88.48,0.0,88.48
2014-09-18,90.72,90.81,89.75,90.04,0.0,90.04
2014-09-17,93.59,93.59,91.06,91.18,0.0,91.18
2014-09-16,93.19,94.63,92.57,93.59,0.0,93.59
2014-09-15,92.94,93.69,92.3,93.24,0.0,93.24
2014-09-12,93.32,93.69,92.34,92.78,0.0,92.78
2014-09-11,92.6,93.94,92.12,93.8,0.0,93.8
2014-09-10,95.05,95.07,92.7,93.11,0.0,93.11
2014-09-09,93.93,95.78,93.8,95.49,0.0,95.49
2014-09-08,96.22,96.28,93.88,94.19,0.0,94.19
2014-09-05,96.89,97.31,95.43,96.86,0.0,96.86
2014-09-04,100.78,101.07,96.62,96.82,0.0,96.82
2014-09-03,101.28,101.75,100.32,100.35,0.0,100.35
2014-09-02,103.81,103.81,100.97,100.98,0.0,100.98
2014-08-29,103.14,104.75,102.75,104.6,0.0,104.6
2014-08-28,102.82,103.44,102.06,103.09,0.0,103.09
2014-08-27,102.22,102.47,101.66,101.94,0.0,101.94
2014-08-26,100.38,101.83,100.38,101.81,0.0,101.81
2014-08-25,100.9,100.9,99.85,99.93,0.0,99.93
2014-08-22,101.44,101.92,100.51,101.17,0.0,101.17
2014-08-21,101.91,102.08,100.75,101.37,0.0,101.37
2014-08-20,102.49,104.11,102.31,103.2,0.0,103.2
2014-08-19,103.23,103.68,102.32,102.49,0.0,102.49
2014-08-18,102.58,103.57,101.98,103.41,0.0,103.41
2014-08-15,102.89,103.43,102.05,103.01,0.0,103.01
2014-08-14,103.91,105.28,103.51,103.8,0.0,103.8
2014-08-13,104.13,104.62,103.4,103.9,0.0,103.9
2014-08-12,102.86,104.79,102.86,104.01,0.0,104.01
2014-08-11,101.06,102.98,100.9,102.67,0.0,102.67
2014-08-08,101.26,102.2,100.83,101.39,0.0,101.39
2014-08-07,101.49,101.49,100.16,101.19,0.0,101.19
2014-08-06,99.6,102.07,99.6,101.52,0.0,101.52
2014-08-05,98.68,99.98,97.39,99.6,0.0,99.6
2014-08-04,99.64,100.07,97.8,99.0,0.0,99.0
2014-08-01,99.27,100.72,98.53,99.72,0.0,99.72
2014-07-31,100.86,100.86,98.34,98.85,0.0,98.85
2014-07-30,101.94,101.94,100.12,101.12,0.0,101.12
2014-07-29,102.63,102.86,101.55,101.99,0.0,101.99
2014-07-28,101.64,102.46,101.21,102.43,0.0,102.43
2014-07-25,98.52,101.87,98.52,101.83,0.0,101.83
2014-07-24,100.08,100.08,98.21,98.64,0.0,98.64
